slug,title,description,type,level,body_part,equipment_required,lugar_entrenamiento,met,ranking_score,rating,rating_desc
seated-bar-twist,Seated bar twist,"The seated bar twist is a core exercise meant to strengthen the obliques. It is often performed for high reps with relatively light weight, such as an empty barbell, a lightweight fixed-weight bar, or even a PVC pipe. It can be performed during a workout, at the end of a workout, or outside of the gym to build core strength and resiliency.",Fuerza,Intermedio,Abdomen,['Barra'],['Casa'],5.0,0.467,4.7,Average
single-arm-landmine-pull-and-press,Single-arm landmine pull and press,"The single-arm landmine pull and press is an explosive rotational movement using a barbell anchored in a landmine device. It combines a pull off the floor with rotation and finishes with a press. It is usually performed for low reps per set with an emphasis on speed and form, not moving heavy weight.",Fuerza,Intermedio,Abdomen,['Barra'],['Casa'],5.0,0.467,,
barbell-ab-roll-out-gethin-variation,Barbell Ab Roll Out - Gethin Variation,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",Fuerza,Intermedio,Abdomen,['Barra'],['Casa'],5.0,0.467,,
30-barbell-floor-wiper,30 Barbell Floor Wiper,"The barbell floor wiper is a core exercise in which the barbell is held in the locked-out position of a floor press, and the hips and legs are rotated side to side. It targets the oblique muscles of the lateral abdomen, but is also seriously challenging to the deep core and rectus abdominis or ""six-pack"" muscles.",Fuerza,Intermedio,Abdomen,['Barra'],['Casa'],5.0,0.467,,
30-barbell-roll-out,30 Barbell Roll-Out,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",Fuerza,Intermedio,Abdomen,['Barra'],['Casa'],5.0,0.467,,
decline-plate-sit-up,Decline plate sit-up,"The decline plate sit-up is a weighted core exercise that works the rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",Fuerza,Intermedio,Abdomen,['Banco'],['Casa'],5.0,0.467,,
kv-barbell-hip-thrust,KV Barbell Hip Thrust,,Fuerza,Intermedio,Abdomen,['Barra'],['Casa'],5.0,0.467,,
advanced-kettlebell-windmill,Advanced Kettlebell Windmill,,Fuerza,Principiante,Abdomen,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,8.3,Average
kettlebell-windmill,Kettlebell Windmill,"The single-kettlebell windmill is a dynamic kettlebell exercise emphasizing core strength and shoulder and hip mobility and stability. It is often used as a functional warm-up or for multi-directional strength work. It doesn't work as well in a metcon or conditioning setting, and shouldn't be performed under intense fatigue.",Fuerza,Intermedio,Abdomen,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,7.7,Average
kettlebell-pass-between-the-legs,Kettlebell Pass Between The Legs,,Fuerza,Principiante,Abdomen,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,7.3,Average
kettlebell-3-point-leg-extension,Kettlebell 3-point leg extension,"The kettlebell 3-point leg extension is a dynamic core exercise performed around and over a kettlebell or other short, stationary object. It is similar in some ways to a V-up or reverse crunch, but targets both the obliques and the rectus abdominis or ""six-pack"" muscles. It can be performed for reps or for time, usually in dedicated ab training or as part of a kettlebell and bodyweight circuit workout.",Fuerza,Intermedio,Abdomen,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,0.0,
double-kettlebell-swing,Double Kettlebell Swing,,Fuerza,Intermedio,Abdomen,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,,
burpee-over-kettlebell,Burpee over kettlebell,"The burpee over kettlebell is a more advanced version of a popular conditioning exercise. If you're performing a circuit that already has both burpees and kettlebell movements, it's a simple way to provide a novel stimulus to the muscles of the lower body and create a more athletic style of training.",Fuerza,Intermedio,Abdomen,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,,
kettlebell-toe-touch,Kettlebell toe-touch,"The kettlebell toe-touch is a more difficult version of a highly popular abdominal movement usually done for high reps. The simple addition of a weight makes the toe-touch far more difficult, providing a different stimulus to the core during training.",Fuerza,Intermedio,Abdomen,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,,
kettlebell-swing,Kettlebell swing,"The kettlebell swing is a popular lower-body exercise emphasizing the hamstrings, glutes, and back muscles. It is often used to train explosive power, for aerobic or cardiovascular conditioning, in circuit training, or as an accessory movement for the deadlift.",Fuerza,Intermedio,Abdomen,['Barra'],['Casa'],5.0,0.467,,
two-way-swing,Two-way swing,"The two-way kettlebell swing is an exercise that alternates a chest-height kettlebell swing (sometimes called a ""Russian"" or ""hardstyle"" swing) with an overhead kettlebell swing (sometimes called an ""American"" swing). Both swing variations work many of the same muscles, such as the hamstrings, glutes, and core, but because the weight must travel farther in the overhead swing, it's slightly more metabolically demanding and works the upper back and shoulders more. This combo can be performed for time or reps and works especially well in circuit-style or full-body training. If you can't perform the overhead swing without lower back or shoulder pain, just perform the chest-height swing.",Fuerza,Intermedio,Abdomen,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,,
kettlebell-crab-reach,Kettlebell crab reach,"The kettlebell crab reach is a kettlebell pressing exercise in which the lifter presses a kettlebell overhead while in a modified single-arm bridge position. The simple addition of a weight makes the reach far more difficult, challenging the muscles of the back, shoulders, glutes, and core.",Fuerza,Intermedio,Abdomen,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,,
taylor-single-arm-kettlebell-swing,Taylor Single-Arm Kettlebell Swing,,Fuerza,Intermedio,Abdomen,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,,
holman-kettlebell-up-to-elbow-down,Holman Kettlebell Up to Elbow Down,,Fuerza,Intermedio,Abdomen,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,,
fyr2-double-kettlebell-ski,FYR2 Double-Kettlebell Ski,,Fuerza,Intermedio,Abdomen,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,,
fyr2-kettlebell-hike,FYR2 Kettlebell Hike,,Fuerza,Intermedio,Abdomen,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,,
fyr2-kettlebell-cross-body-catch,FYR2 Kettlebell Cross-Body Catch,,Fuerza,Intermedio,Abdomen,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,,
fyr2-kettlebell-duck-walk,FYR2 Kettlebell Duck Walk,,Fuerza,Intermedio,Abdomen,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,,
fyr2-kettlebell-get-up-reach,FYR2 Kettlebell Get-Up Reach,,Fuerza,Intermedio,Abdomen,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,,
fyr2-kettlebell-juggle,FYR2 Kettlebell Juggle,,Fuerza,Intermedio,Abdomen,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,,
fyr2-squat-clean-alternating-press-complex,FYR2 Squat-Clean-Alternating-Press Complex,,Fuerza,Intermedio,Abdomen,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,,
dumbbell-v-sit-cross-jab,Dumbbell V-Sit Cross Jab,"The dumbbell V-sit cross jab is a hybrid movement that trains the abdominal and shoulder muscles simultaneously. It can address multiple muscle groups in a time-efficient muscle-building or circuit-style workout, while also providing a cardiovascular challenge.",Fuerza,Intermedio,Abdomen,['Mancuernas'],['Casa'],5.0,0.467,9.3,Average
dumbbell-spell-caster,Dumbbell spell caster,"The dumbbell spell caster is an exercise that primarily targets the abdominal muscles such as the obliques. However, it also works shoulders, back, hips, and legs, and demands all of those muscles work together in a coordinated motion. It is usually performed with relatively light weights for moderate to high reps, at least 8-12 reps per side. Make sure to only use a weight you can control.",Fuerza,Principiante,Abdomen,['Mancuernas'],['Casa'],5.0,0.467,9.3,Average
dumbbell-side-bend,Dumbbell side bend,"The dumbbell side bend is a popular exercise for targeting the oblique muscles of the abdomen. It is usually performed for relatively high reps, at least 8-12 reps per set or more. It can be performed one side at a time or alternating sides.",Fuerza,Intermedio,Abdomen,['Mancuernas'],['Casa'],5.0,0.467,8.6,Average
dumbbell-crunch,Dumbbell crunch,"The dumbbell crunch is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the crunch far more difficult, providing a different stimulus to the core during training.",Fuerza,Intermedio,Abdomen,['Mancuernas'],['Casa'],5.0,0.467,,
dumbbell-fix-dumbbell-sprawl,Dumbbell Fix Dumbbell Sprawl,,Fuerza,Intermedio,Abdomen,['Mancuernas'],['Casa'],5.0,0.467,,
dumbbell-fix-alternating-renegade-row,Dumbbell Fix Alternating Renegade Row,,Fuerza,Intermedio,Abdomen,['Mancuernas'],['Casa'],5.0,0.467,,
dumbbell-fix-dumbbell-mountain-climber,Dumbbell Fix Dumbbell Mountain Climber,,Fuerza,Intermedio,Abdomen,['Mancuernas'],['Casa'],5.0,0.467,,
dumbbell-fix-dumbbell-russian-twist,Dumbbell Fix Dumbbell Russian Twist,,Fuerza,Intermedio,Abdomen,['Mancuernas'],['Casa'],5.0,0.467,,
dumbbell-fix-dumbbell-pull-over,Dumbbell Fix Dumbbell Pull-Over,,Fuerza,Intermedio,Abdomen,['Mancuernas'],['Casa'],5.0,0.467,,
dumbbell-fix-dumbbell-sit-up,Dumbbell Fix Dumbbell Sit-Up,,Fuerza,Intermedio,Abdomen,['Mancuernas'],['Casa'],5.0,0.467,,
dumbbell-fix-dumbbell-front-squat,Dumbbell Fix Dumbbell Front Squat,,Fuerza,Intermedio,Abdomen,['Mancuernas'],['Casa'],5.0,0.467,,
dumbbell-fix-full-man-maker,Dumbbell Fix Full Man Maker,,Fuerza,Intermedio,Abdomen,['Mancuernas'],['Casa'],5.0,0.467,,
dumbbell-t-hold,Dumbbell T-hold,"The dumbbell T-hold is a static exercise that primarily targets the obliques, although it also works the shoulders and upper back. It involves holding a dumbbell in the air while in a side plank position. It is usually performed for timed holds, although it can be performed dynamically for reps as a plank with dumbbell rotation.",Fuerza,Intermedio,Abdomen,['Mancuernas'],['Casa'],5.0,0.467,,
dumbbell-hollow-body-floor-press,Dumbbell hollow-body floor press,The dumbbell hollow-body floor press combines upper-body strength and core work in one move.,Fuerza,Intermedio,Abdomen,['Mancuernas'],['Casa'],5.0,0.467,,
dumbbell-crusher,Dumbbell crusher,"The dumbbell crusher is a dumbbell complex that combines a squat with a dumbbell curl, followed by a triceps press. It targets the legs, glutes, biceps, shoulders, and triceps in a single sequence, making it a great way to burn serious calories and hit a lot of muscles in a short period of time. The upper-body movements will determine the amount of weight you can effectively use.",Fuerza,Intermedio,Abdomen,['Mancuernas'],['Casa'],5.0,0.467,,
dumbbell-crunch-gethin-variation,Dumbbell Crunch - Gethin Variation,"The dumbbell crunch is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the crunch far more difficult, providing a different stimulus to the core during training.",Fuerza,Intermedio,Abdomen,['Mancuernas'],['Casa'],5.0,0.467,,
single-arm-dumbbell-crunch,Single-arm dumbbell crunch,"The single-arm dumbbell crunch is a more difficult version of a highly popular abdominal movement. Adding a weight to one side makes the crunch far more difficult to your rectus abdominis or ""six-pack"" muscles, as well as the obliques and deep core muscles.",Fuerza,Intermedio,Abdomen,['Mancuernas'],['Casa'],5.0,0.467,,
hm-alternating-dumbbell-plank-row,HM Alternating Dumbbell Plank Row,,Fuerza,Intermedio,Abdomen,['Mancuernas'],['Casa'],5.0,0.467,,
dumbbell-straight-legged-hip-raise,Dumbbell straight-legged hip raise,The dumbbell straight-legged hip raise works the hips and glutes. It requires and teaches body control and coordination.,Fuerza,Intermedio,Abdomen,['Mancuernas'],['Casa'],5.0,0.467,,
seated-leg-tuck-with-dumbbell,Seated leg tuck with dumbbell,The seated leg tuck with dumbbell is an ab exercise requiring only a bench and a dumbbell. It's commonly performed for high reps as a burnout at the end of a core workout.,Fuerza,Intermedio,Abdomen,"['Banco', 'Mancuernas']",['Casa'],5.0,0.517,,
dumbbell-v-sit-cross-jab,Dumbbell V-sit cross jab-,"The dumbbell V-sit cross jab is a hybrid movement that trains the abdominal and shoulder muscles simultaneously. It can address multiple muscle groups in a time-efficient muscle-building or circuit-style workout, while also providing a cardiovascular challenge.",Fuerza,Intermedio,Abdomen,['Mancuernas'],['Casa'],5.0,0.467,,
30-hanging-leg-raise-with-dumbbell,30 Hanging Leg Raise With Dumbbell,,Fuerza,Intermedio,Abdomen,['Mancuernas'],['Casa'],5.0,0.467,,
dumbbell-get-up-sit-up,Dumbbell Get-Up Sit-Up,,Fuerza,Avanzado,Abdomen,['Mancuernas'],['Casa'],5.0,0.467,,
holman-right-side-plank-with-left-triceps-press,Holman Right Side Plank with Left Triceps Press,,Fuerza,Intermedio,Abdomen,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,,
holman-left-side-plank-with-right-triceps-press,Holman Left Side Plank with Right Triceps Press,,Fuerza,Intermedio,Abdomen,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,,
holman-boat-with-feet-push-out-and-overhead-press,Holman Boat with Feet Push-Out and Overhead Press,,Fuerza,Intermedio,Abdomen,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,,
holman-hovering-plank-row,Holman Hovering Plank Row,,Fuerza,Intermedio,Abdomen,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,,
holman-weighted-seated-killer-abs-to-russian-twist,Holman Weighted Seated Killer Abs to Russian Twist,,Fuerza,Intermedio,Abdomen,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,,
holman-straight-plank-dumbbell-reach-under,Holman Straight Plank Dumbbell Reach-Under,,Fuerza,Intermedio,Abdomen,['Mancuernas'],['Casa'],5.0,0.467,,
holman-straight-arm-side-plank-overhead-press-to-chest-press,Holman Straight-Arm Side Plank Overhead Press to Chest Press,,Fuerza,Intermedio,Abdomen,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,,
holman-weighted-burpee-to-pike,Holman Weighted Burpee to Pike,,Fuerza,Intermedio,Abdomen,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,,
holman-straight-legged-boat-chest-press,Holman Straight-Legged Boat Chest Press,,Fuerza,Intermedio,Abdomen,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,,
holman-weighted-burpee-to-side-delt-raise,Holman Weighted Burpee to Side Delt Raise,,Fuerza,Intermedio,Abdomen,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,,
holman-heavy-double-pike,Holman Heavy Double Pike,,Fuerza,Intermedio,Abdomen,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,,
holman-heavy-double-split-pike,Holman Heavy Double Split Pike,,Fuerza,Intermedio,Abdomen,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,,
metaburn-alternating-dumbbell-sit-through,MetaBurn Alternating Dumbbell Sit-Through,,Fuerza,Intermedio,Abdomen,['Mancuernas'],['Casa'],5.0,0.467,,
metaburn-alternating-plank-row-with-dumbbell-pull-through,MetaBurn Alternating Plank Row With Dumbbell Pull-Through,,Fuerza,Intermedio,Abdomen,['Mancuernas'],['Casa'],5.0,0.467,,
metaburn-alternating-plank-row-with-push-up,MetaBurn Alternating Plank Row With Push-Up,,Fuerza,Intermedio,Abdomen,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,,
metaburn-dumbbell-russian-twist,MetaBurn Dumbbell Russian Twist,,Fuerza,Intermedio,Abdomen,['Mancuernas'],['Casa'],5.0,0.467,,
metaburn-dumbbell-toe-touch,MetaBurn Dumbbell Toe-Touch,,Fuerza,Intermedio,Abdomen,['Mancuernas'],['Casa'],5.0,0.467,,
metaburn-plank-to-alternating-row,MetaBurn Plank To Alternating Row,,Fuerza,Intermedio,Abdomen,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,,
standing-dumbbell-knee-crunch,Standing dumbbell knee crunch-,"The standing dumbbell knee crunch is a great way to train the abs while standing up. Additionally, the deltoids are worked because the lifter holds a pair of dumbbells overhead throughout.",Fuerza,Intermedio,Abdomen,['Mancuernas'],['Casa'],5.0,0.467,,
metaburn-plank-with-dumbbell-rotation,MetaBurn Plank With Dumbbell Rotation,,Fuerza,Intermedio,Abdomen,['Mancuernas'],['Casa'],5.0,0.467,,
fyr2-dumbbell-crab-reach,FYR2 Dumbbell Crab Reach,,Fuerza,Intermedio,Abdomen,['Mancuernas'],['Casa'],5.0,0.467,,
fyr2-dumbbell-man-maker,FYR2 Dumbbell Man-Maker,,Fuerza,Intermedio,Abdomen,['Mancuernas'],['Casa'],5.0,0.467,,
fyr2-dumbbell-sit-up-reach,FYR2 Dumbbell Sit-Up Reach,,Fuerza,Intermedio,Abdomen,['Mancuernas'],['Casa'],5.0,0.467,,
fyr2-loaded-beast-sprawl,FYR2 Loaded Beast Sprawl,,Fuerza,Intermedio,Abdomen,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,,
fyr2-loaded-to-unloaded-beast,FYR2 Loaded to Unloaded Beast,,Fuerza,Intermedio,Abdomen,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,,
lying-leg-pullover,Lying Leg Pullover,,Fuerza,Intermedio,Abdomen,['Banco'],['Casa'],5.0,0.467,,
landmine-twist,Landmine twist,"The landmine twist is a rotational abdominal movement performed using an angled barbell anchored at floor level in a landmine device. It can also be performed by sticking a barbell in the corner of a room, preferably in a towel to protect the walls. It targets the deep muscles of the core, including both the obliques and the transversus abdominis. It can be done fast or slow, for time or reps, either in traditional muscle-focused rep ranges such as 8-12 reps per side or for higher rep ranges.",Fuerza,Intermedio,Abdomen,['Barra'],['Casa'],5.0,0.467,9.5,Average
suspended-ab-fall-out,Suspended ab fall-out,"The suspended ab fall-out is a dynamic abdominal exercise utilizing a suspension strap system or gymnastic rings. It is similar in form to an ab roller, but can more easily be scaled to be more or less difficult. It targets the muscles of the rectus abdominis or ""six-pack"" muscles, as well as the deep core muscles. It can be trained for low reps for strength or higher reps for muscle definition.",Fuerza,Intermedio,Abdomen,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,9.3,Average
decline-reverse-crunch,Decline reverse crunch,"The decline reverse crunch is a popular bodyweight exercise targeting the abdominal muscles, particularly the lower abs. It is usually performed for high reps, such as 10-15 reps per set or more, as part of the ab-focused portion of a workout.",Fuerza,Intermedio,Abdomen,['Banco'],['Casa'],5.0,0.467,9.2,Average
plate-twist,Plate Twist,,Fuerza,Principiante,Abdomen,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,9.0,Average
weighted-crunches,Weighted Crunches,"The weighted suitcase crunch is a weighted version of a popular abdominal training exercise. The simple addition of a weight makes the suitcase crunch far more difficult, helping build the ""six pack"" muscles and providing a different stimulus to the core during training.",Fuerza,Intermedio,Abdomen,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,8.9,Average
ab-roller,Ab Roller,"The ab wheel roll-out is an exercise targeting the abdominals, often with an inexpensive wheel device with a handle on either side. Many trainers and strength coaches claim it's one of, if no the best exercise for developing strength in the midsection. Beginners may have to start with a limited range of motion or just wheel planks.",Fuerza,Intermedio,Abdomen,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,8.9,Average
otis-up,Otis-Up,"The Otis-up is a weighted exercise focusing on the abdominal muscles, as well as the shoulders to a lesser degree. It primarily targets the rectus abdominus or “six-pack” muscles, but also involves the obliques and deep core muscles. It is normally performed on a decline bench holding a weight plate, but can also be performed with a dumbbell, kettlebell, or other weight.",Fuerza,Intermedio,Abdomen,"['Banco', 'Mancuernas']",['Casa'],5.0,0.517,8.8,Average
captain-s-chair-knee-raise,Captain's chair knee raise,"The captain's chair knee raise is a bodyweight exercise that targets the abs. It is performed on an apparatus that allows the forearms to rest on pads and the upright torso to hang freely. Knee raises are often performed for moderate to high reps, such as 8-12 reps or more, as part of ab-focused training.",Fuerza,Intermedio,Abdomen,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,8.6,Average
sledgehammer-swing,Sledgehammer swing,The sledgehammer swing is an exercise working the abdominals and numerous other muscles. The sledgehammer is slammed from overhead onto a tire which absorbs the impact and causes the hammer to bounce back up. It can be performed for time or reps as part of a functional fitness or athleticism-focused workout.,Plyometrics,Intermedio,Abdomen,['Peso corporal'],"['Casa', 'Aire libre']",4.0,0.383,8.6,Average
decline-bar-press-sit-up,Decline bar press sit-up,"The decline bar press sit-up is a weighted core exercise targeting the abdominal muscles, particularly the lower abs. It also challenges the shoulders and upper back to move the weight. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",Fuerza,Intermedio,Abdomen,['Banco'],['Casa'],5.0,0.467,8.5,Average
pallof-press,Pallof press,"The Pallof press is an isometric exercise that trains core stability. It involves resisting rotation from a cable or band, developing what is sometimes called ""anti-rotation"" core strength. It is most often seen in programs for athletes who compete in sports that test strength, power, and functional movements. It can be trained in timed holds or for reps by pressing the cable or band away from the body.",Fuerza,Intermedio,Abdomen,"['Poleas', 'Bandas']",['Gimnasio'],5.0,0.517,8.4,Average
weighted-sit-ups-with-bands,Weighted Sit-Ups - With Bands,"The weighted sit-up is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the sit-up far more difficult, providing a different stimulus to the core during training and helping build strong abs.",Fuerza,Intermedio,Abdomen,['Bandas'],['Casa'],5.0,0.467,8.0,Average
suitcase-crunch,Suitcase crunch,"The suitcase crunch is a bodyweight movement that targets the muscles of the abs, the rectus abdominis or ""six-pack"" muscles in particular. It is similar to a V-up, but the lower back stays flat against the ground. It can be performed for time or reps in the ab-focused portion of any workout.",Fuerza,Intermedio,Abdomen,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,0.0,Average
fyr-rope-jumping,FYR Rope Jumping,"Jumping rope is classic conditioning exercise that is popular with everyone from children to boxers to CrossFit athletes. It targets many different muscles, including the calves, glutes, shoulders, and upper back, and is great for everything from fat loss to improving overall athletic performance.",Fuerza,Intermedio,Abdomen,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,,
barbell-press-sit-up,Barbell press sit-up,"The barbell press sit-up is a weighted exercise focusing on the abdominal muscles, as well as the shoulders to a lesser degree. It primarily targets the rectus abdominis or ""six-pack"" muscles, but also involves the obliques and deep core muscles. It can be performed on the floor with the feet anchored or unanchored, or on a decline or other bench. It is similar to the Otis-up, which is performed with a weight plate.",Fuerza,Intermedio,Abdomen,"['Banco', 'Barra']",['Casa'],5.0,0.517,,
single-arm-bent-over-rear-delt-fly,Single-arm bent-over rear delt fly,"The single-arm bent-over rear delt fly is a popular upper-body exercise that targets the muscles on the back of the shoulder joint, specifically the rear head of the deltoid. Since pressing movements build the front and (to a lesser degree) side deltoid heads, this move is often done to promote balanced shoulder development. It is usually performed for high reps, such as 10-15 reps per set or more, as part of a shoulder or upper-body workout.",Fuerza,Intermedio,Abdomen,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,,
captain-s-chair-leg-raise,Captain's chair leg raise,"The captain's chair leg raise is a bodyweight exercise that targets the abs. It is performed on an apparatus that allows the forearms to rest on pads and the upright torso to hang freely. Leg raise variations are often performed for moderate to high reps, such as 8-12 reps or more, as part of ab-focused training.",Fuerza,Intermedio,Abdomen,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,,
shoulder-elevated-one-leg-hip-thrusts,Shoulder-Elevated One-Leg Hip Thrusts,,Fuerza,Intermedio,Abdomen,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,,
